Tile,Source Number,APT_g,APT_error_g,m_g,m_g_ec,m_g_error,M_g,M_g_error,APT_i,APT_error_i,m_i,m_i_ec,m_i_error,M_i,M_i_error,g-i,Constant 0 points,Tile 1,Tile 2,Tile 3
1,3,-6.6578,0.0555,18.8014,18.23989,,10.45235399,,-8.4926,0.0234,15.665155,15.376495,,7.58895899,,2.863395,i,24.15775517,23.87279126,27.15195803
1,4,-2.0271,0.0874,23.4321,22.87059,,15.08305399,,-4.5435,0.0582,19.614255,19.325595,,11.53805899,,3.544995,g,25.45925828,24.23916891,24.73359352
1,6,-3.5174,0.0112,21.9418,21.38029,,13.59275399,,-2.0063,0.0109,22.151455,21.862795,,14.07525899,,-0.482505,,,,
1,7,-4.9613,0.0086,20.4979,19.93639,,12.14885399,,-7.0307,0.011,17.127055,16.838395,,9.05085899,,3.097995,,,,
1,8,-8.1716,0.001,17.2876,16.72609,,8.93855399,,-9.2182,0.001,14.939555,14.650895,,6.86335899,,2.075195,,,,
1,9,-4.6818,0.179,20.7774,20.21589,,12.42835399,,-7.0441,0.087,17.113655,16.824995,,9.03745899,,3.390895,,,,
1,10,-11.0828,0.0804,14.3764,13.81489,,6.02735399,,-11.1993,0.0798,12.958455,12.669795,,4.88225899,,1.145095,,,,
1,11,-3.4855,0.0155,21.9737,21.41219,,13.62465399,,-4.5782,0.0145,19.579555,19.290895,,11.50335899,,2.121295,,,,
1,12,-5.3474,,20.1118,19.55029,,11.76275399,,-7.2574,,16.900355,16.611695,,8.82415899,,2.938595,,,,
2,1,-6.5226,,17.7165,17.15499,,9.36745399,,-8.1111,,16.128,15.83934,,8.05180399,,1.31565,,,,
2,6,-5.1973,,19.0418,18.48029,,10.69275399,,-7.2067,,17.0324,16.74374,,8.95620399,,1.73655,,,,
2,7,-3.8959,,20.3432,19.78169,,11.99415399,,-4.7682,,19.4709,19.18224,,11.39470399,,0.59945,,,,
2,8,-10.7872,,13.4519,12.89039,,5.10285399,,-10.4346,,13.8045,13.51584,,5.72830399,,-0.62545,,,,
2,9,-13.483,,10.7561,10.19459,,2.40705399,,-13.0619,,11.1772,10.88854,,3.10100399,,-0.69395,,,,
2,10,-2.318,,21.9211,21.35959,,13.57205399,,-3.9699,,20.2692,19.98054,,12.19300399,,1.37905,,,,
2,13,-5.1309,,19.1082,18.54669,,10.75915399,,-6.5192,,17.7199,17.43124,,9.64370399,,1.11545,,,,
2,14,-3.3512,,20.8879,20.32639,,12.53885399,,-4.3988,,19.8403,19.55164,,11.76410399,,0.77475,,,,
2,15,-8.471,,15.7681,15.20659,,7.41905399,,-8.2509,,15.9882,15.69954,,7.91200399,,-0.49295,,,,
2,16,-2.3005,,21.9386,21.37709,,13.58955399,,-4.9248,,19.3143,19.02564,,11.23810399,,2.35145,,,,
2,17,-4.4013,,19.8378,19.27629,,11.48875399,,-5.4488,,18.7903,18.50164,,10.71410399,,0.77465,,,,
2,18,-5.4527,,18.7864,18.22489,,10.43735399,,-7.4432,,16.7959,16.50724,,8.71970399,,1.71765,,,,
2,20,-5.9708,,18.2683,17.70679,,9.91925399,,-7.1792,,17.0599,16.77124,,8.98370399,,0.93555,,,,
2,21,-4.0757,,20.1634,19.60189,,11.81435399,,-5.8477,,18.3914,18.10274,,10.31520399,,1.49915,,,,
3,3,-5.7967,,18.93689,18.37538,,10.58784399,,-7.2097,,19.9422,19.65354,,11.86600399,,-1.27816,,,,
3,4,-4.865,,19.86859,19.30708,,11.51954399,,-6.439,,20.7129,20.42424,,12.63670399,,-1.11716,,,,
3,5,-5.4801,,19.25349,18.69198,,10.90444399,,-6.6512,,20.5007,20.21204,,12.42450399,,-1.52006,,,,
3,6,-9.9966,,14.73699,14.17548,,6.38794399,,-10.1998,,16.9521,16.66344,,8.87590399,,-2.48796,,,,
3,8,-7.5475,,17.18609,16.62458,,8.83704399,,-8.0885,,19.0634,18.77474,,10.98720399,,-2.15016,,,,
3,11,-4.8414,,19.89219,19.33068,,11.54314399,,-6.9711,,20.1808,19.89214,,12.10460399,,-0.56146,,,,
