Tile,Source Number,APT_g,APT_error_g,m_g,m_g_error,M_g,M_g_error,APT_i,APT_error_i,m_i,m_i_error,M_i,M_I_error,g-i,,,,
1,1,-9.4612,0.0062,15.5574,,7.76986399,,-9.0225,0.0082,14.8565,,7.06896399,,-0.7009,Constant 0 points,Tile 1,Tile 2,Tile 3
1,2,-8.1645,0.0123,16.8541,,9.06656399,,-7.8936,0.0166,15.9854,,8.19786399,,-0.8687,i,23.87921634,24.17811927,24.23580185
1,3,-8.8186,0.0086,16.2,,8.41246399,,-8.3808,0.0121,15.4982,,7.71066399,,-0.7018,g,25.0186531,25.01221822,24.35286159
1,4,-5.9524,0.0546,19.0662,,11.27866399,,-5.517,0.0812,18.362,,10.57446399,,-0.7042,,,,
1,5,-9.8927,0.005,15.1259,,7.33836399,,-9.3302,0.0067,14.5488,,6.76126399,,-0.5771,,,,
1,6,-4.9719,0.1217,20.0467,,12.25916399,,-4.2027,0.246,19.6763,,11.88876399,,-0.3704,,,,
1,7,-4.8487,0.137,20.1699,,12.38236399,,-5.2518,0.1348,18.6272,,10.83966399,,-1.5427,,,,
1,8,-8.3284,0.0112,16.6902,,8.90266399,,-7.7692,0.018,16.1098,,8.32226399,,-0.5804,,,,
1,9,-7.4578,0.0222,17.5608,,9.77326399,,-6.9493,0.0331,16.9297,,9.14216399,,-0.6311,,,,
1,10,-6.8645,0.0279,18.1541,,10.36656399,,-8.393,0.011,15.486,,7.69846399,,-2.6681,,,,
1,11,-11.6794,0.0022,13.3392,,5.55166399,,-11.7016,0.0021,12.1774,,4.38986399,,-1.1618,,,,
1,12,-7.0523,0.0304,17.9663,,10.17876399,,-6.5397,0.0561,17.3393,,9.55176399,,-0.627,,,,
1,13,-7.5505,0.0209,17.4681,,9.68056399,,-7.1858,0.0274,16.6932,,8.90566399,,-0.7749,,,,
1,14,-7.2064,0.0222,17.8122,,10.02466399,,-7.1175,0.0238,16.7615,,8.97396399,,-1.0507,,,,
1,15,-9.7083,0.0057,15.3103,,7.52276399,,-9.6044,0.006,14.2746,,6.48706399,,-1.0357,,,,
1,16,-9.4832,0.0064,15.5354,,7.74786399,,-9.535,0.0063,14.344,,6.55646399,,-1.1914,,,,
1,18,-5.0346,0.1159,19.984,,12.19646399,,-5.6276,0.096,18.2514,,10.46386399,,-1.7326,,,,
1,19,-5.6014,0.0728,19.4172,,11.62966399,,-6.3515,0.0527,17.5275,,9.73996399,,-1.8897,,,,
1,20,-5.0098,0.1632,20.0088,,12.22126399,,-5.0949,0.1475,18.7841,,10.99656399,,-1.2247,,,,
1,21,-5.9691,0.0542,19.0495,,11.26196399,,-6.1292,0.0645,17.7498,,9.96226399,,-1.2997,,,,
1,22,-8.8133,0.0086,16.2053,,8.41776399,,-8.5755,0.0099,15.3035,,7.51596399,,-0.9018,,,,
1,23,-9.9861,0.0048,15.0325,,7.24496399,,-9.4296,0.0066,14.4494,,6.66186399,,-0.5831,,,,
1,24,-5.5684,0.1022,19.4502,,11.66266399,,-6.8736,0.0425,17.0054,,9.21786399,,-2.4448,,,,
1,25,-11.3983,0.0025,13.6203,,5.83276399,,-10.842,0.0032,13.037,,5.24946399,,-0.5833,,,,
1,26,-8.1602,0.013,16.8584,,9.07086399,,-7.1286,0.0286,16.7504,,8.96286399,,-0.108,,,,
1,27,-4.8873,0.1316,20.1313,,12.34376399,,-4.5338,0.1835,19.3452,,11.55766399,,-0.7861,,,,
1,28,-13.3203,0.001,11.6983,,3.91076399,,-12.6381,0.0014,11.2409,,3.45336399,,-0.4574,,,,
1,29,-7.0171,0.0272,18.0015,,10.21396399,,-7.0829,0.0298,16.7961,,9.00856399,,-1.2054,,,,
1,30,-7.4418,0.0227,17.5768,,9.78926399,,-7.2791,0.0254,16.5999,,8.81236399,,-0.9769,,,,
1,31,-11.8804,0.002,13.1382,,5.35066399,,-11.4182,0.0024,12.4608,,4.67326399,,-0.6774,,,,
1,32,-8.2375,0.0118,16.7811,,8.99356399,,-8.2076,0.0134,15.6714,,7.88386399,,-1.1097,,,,
1,33,-5.2225,0.0975,19.7961,,12.00856399,,-7.3082,0.0248,16.5708,,8.78326399,,-3.2253,,,,
1,34,-11.0844,0.0029,13.9342,,6.14666399,,-11.487,0.0024,12.392,,4.60446399,,-1.5422,,,,
1,35,-9.1582,0.0072,15.8604,,8.07286399,,-8.7001,0.0092,15.1789,,7.39136399,,-0.6815,,,,
1,36,-5.8802,0.0585,19.1384,,11.35086399,,-6.8906,0.0344,16.9884,,9.20086399,,-2.15,,,,
1,37,-7.2249,0.0219,17.7937,,10.00616399,,-7.1089,0.0289,16.7701,,8.98256399,,-1.0236,,,,
1,38,-7.7518,0.0157,17.2668,,9.47926399,,-7.3012,0.0212,16.5778,,8.79026399,,-0.689,,,,
1,39,-8.3969,0.0108,16.6217,,8.83416399,,-7.9576,0.0158,15.9214,,8.13386399,,-0.7003,,,,
1,40,-6.0863,0.049,18.9323,,11.14476399,,-5.9928,0.0701,17.8862,,10.09866399,,-1.0461,,,,
1,41,-6.2385,0.0435,18.7801,,10.99256399,,-6.0895,0.0642,17.7895,,10.00196399,,-0.9906,,,,
1,42,-5.1338,0.1482,19.8848,,12.09726399,,-5.3252,0.1593,18.5538,,10.76626399,,-1.331,,,,
1,43,-7.8194,0.0151,17.1992,,9.41166399,,-7.5638,0.0201,16.3152,,8.52766399,,-0.884,,,,
1,44,-6.0753,0.0499,18.9433,,11.15576399,,-5.4728,0.1107,18.4062,,10.61866399,,-0.5371,,,,
1,45,-6.3532,0.0402,18.6654,,10.87786399,,-6.5346,0.0359,17.3444,,9.55686399,,-1.321,,,,
1,46,-9.058,0.0076,15.9606,,8.17306399,,-8.4013,0.0119,15.4777,,7.69016399,,-0.4829,,,,
1,47,-6.507,0.0453,18.5116,,10.72406399,,-5.9068,0.0763,17.9722,,10.18466399,,-0.5394,,,,
1,48,-5.8484,0.0793,19.1702,,11.38266399,,-5.4629,0.0978,18.4161,,10.62856399,,-0.7541,,,,
1,49,-6.1456,0.047,18.873,,11.08546399,,-6.0305,0.0686,17.8485,,10.06096399,,-1.0245,,,,
1,50,-6.5524,0.044,18.4662,,10.67866399,,-6.0128,0.0539,17.8662,,10.07866399,,-0.6,,,,
1,51,-8.8572,0.0084,16.1614,,8.37386399,,-8.6369,0.0103,15.2421,,7.45456399,,-0.9193,,,,
1,52,-6.1486,0.0468,18.87,,11.08246399,,-6.6912,0.0397,17.1878,,9.40026399,,-1.6822,,,,
1,53,-6.0351,0.0512,18.9835,,11.19596399,,-5.672,0.0908,18.207,,10.41946399,,-0.7765,,,,
1,54,-5.1636,0.1031,19.855,,12.06746399,,-5.1967,0.105,18.6823,,10.89476399,,-1.1727,,,,
1,55,-11.6269,0.0022,13.3917,,5.60416399,,-10.7416,0.0033,13.1374,,5.34986399,,-0.2543,,,,
1,56,-6.3137,0.0417,18.7049,,10.91736399,,-5.9569,0.0732,17.9221,,10.13456399,,-0.7828,,,,
1,57,-5.7513,0.0636,19.2673,,11.47976399,,-6.3116,0.0538,17.5674,,9.77986399,,-1.6999,,,,
1,58,-5.6858,0.068,19.3328,,11.54526399,,-5.2751,0.1305,18.6039,,10.81636399,,-0.7289,,,,
1,59,-5.6821,0.0682,19.3365,,11.54896399,,-5.743,0.0864,18.136,,10.34846399,,-1.2005,,,,
1,60,-5.0824,0.1103,19.9362,,12.14866399,,-4.7083,0.2148,19.1707,,11.38316399,,-0.7655,,,,
1,61,-4.638,0.1611,20.3806,,12.59306399,,-5.6273,0.0951,18.2517,,10.46416399,,-2.1289,,,,
1,62,-9.8158,0.0054,15.2028,,7.41526399,,-9.3396,0.0069,14.5394,,6.75186399,,-0.6634,,,,
1,63,-7.0994,0.0236,17.9192,,10.13166399,,-6.7234,0.0387,17.1556,,9.36806399,,-0.7636,,,,
1,64,-6.9338,0.0266,18.0848,,10.29726399,,-6.6138,0.042,17.2652,,9.47766399,,-0.8196,,,,
1,65,-11.302,0.0026,13.7166,,5.92906399,,-11.1347,0.0028,12.7443,,4.95676399,,-0.9723,,,,
1,66,-5.0566,0.1156,19.962,,12.17446399,,-5.8768,0.0784,18.0022,,10.21466399,,-1.9598,,,,
1,67,-6.0449,0.0514,18.9737,,11.18616399,,-6.1494,0.062,17.7296,,9.94206399,,-1.2441,,,,
1,68,-7.2651,0.0254,17.7535,,9.96596399,,-6.774,0.0453,17.105,,9.31746399,,-0.6485,,,,
1,69,-6.5422,0.0349,18.4764,,10.68886399,,-6.2859,0.0554,17.5931,,9.80556399,,-0.8833,,,,
1,70,-4.8194,0.1373,20.1992,,12.41166399,,-5.2994,0.1264,18.5796,,10.79206399,,-1.6196,,,,
1,71,-7.8793,0.0145,17.1393,,9.35176399,,-7.3495,0.024,16.5295,,8.74196399,,-0.6098,,,,
1,72,-6.4651,0.0592,18.5535,,10.76596399,,-7.5465,0.0214,16.3325,,8.54496399,,-2.221,,,,
1,73,-8.0199,0.0153,16.9987,,9.21116399,,-7.5684,0.021,16.3106,,8.52306399,,-0.6881,,,,
1,74,-5.5122,0.1073,19.5064,,11.71886399,,-4.4358,0.2775,19.4432,,11.65566399,,-0.0632,,,,
1,75,-11.9123,0.0019,13.1063,,5.31876399,,-11.8798,0.002,11.9992,,4.21166399,,-1.1071,,,,
1,76,-6.0959,0.0646,18.9227,,11.13516399,,-5.5565,0.1295,18.3225,,10.53496399,,-0.6002,,,,
1,77,-6.1925,0.0587,18.8261,,11.03856399,,-5.7004,0.09,18.1786,,10.39106399,,-0.6475,,,,
1,78,-9.2273,0.007,15.7913,,8.00376399,,-8.6798,0.0101,15.1992,,7.41166399,,-0.5921,,,,
1,79,-8.1812,0.0136,16.8374,,9.04986399,,-7.7675,0.018,16.1115,,8.32396399,,-0.7259,,,,
1,80,-7.3001,0.0207,17.7185,,9.93096399,,-6.8913,0.034,16.9877,,9.20016399,,-0.7308,,,,
1,81,-7.2343,0.0216,17.7843,,9.99676399,,-6.738,0.0311,17.141,,9.35346399,,-0.6433,,,,
1,82,-5.8352,0.0591,19.1834,,11.39586399,,-5.7012,0.0895,18.1778,,10.39026399,,-1.0056,,,,
1,83,-4.927,0.1752,20.0916,,12.30406399,,-5.5696,0.1015,18.3094,,10.52186399,,-1.7822,,,,
1,84,-5.3656,0.0868,19.653,,11.86546399,,-5.9972,0.0692,17.8818,,10.09426399,,-1.7712,,,,
1,85,-5.0087,0.1169,20.0099,,12.22236399,,-5.3823,0.1166,18.4967,,10.70916399,,-1.5132,,,,
1,86,-8.0656,0.0147,16.953,,9.16546399,,-7.5797,0.0237,16.2993,,8.51176399,,-0.6537,,,,
1,87,-5.5836,0.0732,19.435,,11.64746399,,-5.5913,0.0995,18.2877,,10.50016399,,-1.1473,,,,
1,88,-6.7077,0.0311,18.3109,,10.52336399,,-6.3745,0.0404,17.5045,,9.71696399,,-0.8064,,,,
1,89,-7.6886,0.0162,17.33,,9.54246399,,-7.3002,0.0245,16.5788,,8.79126399,,-0.7512,,,,
1,90,-9.5943,0.006,15.4243,,7.63676399,,-9.1052,0.0079,14.7738,,6.98626399,,-0.6505,,,,
1,91,-6.7337,0.0385,18.2849,,10.49736399,,-6.5504,0.0549,17.3286,,9.54106399,,-0.9563,,,,
1,92,-4.798,0.1397,20.2206,,12.43306399,,-5.8137,0.0808,18.0653,,10.27776399,,-2.1553,,,,
1,93,-5.2451,0.1333,19.7735,,11.98596399,,-5.456,0.1097,18.423,,10.63546399,,-1.3505,,,,
1,94,-4.6612,0.157,20.3574,,12.56986399,,-5.6984,0.0886,18.1806,,10.39306399,,-2.1768,,,,
1,95,-4.6263,0.2281,20.3923,,12.60476399,,-6.7653,0.0372,17.1137,,9.32616399,,-3.2786,,,,
1,96,-6.329,0.0411,18.6896,,10.90206399,,-5.8115,0.0696,18.0675,,10.27996399,,-0.6221,,,,
1,97,-7.3646,0.0239,17.654,,9.86646399,,-6.8181,0.0361,17.0609,,9.27336399,,-0.5931,,,,
1,98,-9.7389,0.0054,15.2797,,7.49216399,,-9.2062,0.0075,14.6728,,6.88526399,,-0.6069,,,,
1,99,-5.7778,0.0625,19.2408,,11.45326399,,-5.7776,0.0836,18.1014,,10.31386399,,-1.1394,,,,
1,100,-10.0255,0.0047,14.9931,,7.20556399,,-9.4483,0.0065,14.4307,,6.64316399,,-0.5624,,,,
1,101,-5.598,0.0979,19.4206,,11.63306399,,-4.9142,0.212,18.9648,,11.17726399,,-0.4558,,,,
1,102,-8.9156,0.0082,16.103,,8.31546399,,-8.6425,0.0103,15.2365,,7.44896399,,-0.8665,,,,
1,103,-10.1263,0.0048,14.8923,,7.10476399,,-10.1985,0.0046,13.6805,,5.89296399,,-1.2118,,,,
1,104,-6.9236,0.0403,18.095,,10.30746399,,-6.3147,0.0553,17.5643,,9.77676399,,-0.5307,,,,
1,105,-9.4507,0.0062,15.5679,,7.78036399,,-9.6013,0.006,14.2777,,6.49016399,,-1.2902,,,,
1,106,-9.7809,0.0053,15.2377,,7.45016399,,-9.5738,0.0061,14.3052,,6.51766399,,-0.9325,,,,
1,107,-6.2398,0.0438,18.7788,,10.99126399,,-6.3503,0.0523,17.5287,,9.74116399,,-1.2501,,,,
1,108,-9.7817,0.0055,15.2369,,7.44936399,,-9.2335,0.0078,14.6455,,6.85796399,,-0.5914,,,,
1,109,-6.56,0.0343,18.4586,,10.67106399,,-6.6386,0.041,17.2404,,9.45286399,,-1.2182,,,,
1,110,-8.169,0.0123,16.8496,,9.06206399,,-7.7333,0.0184,16.1457,,8.35816399,,-0.7039,,,,
