Tile,Source Number,APT_g,APT_error_g,m_g,m_g_error,M_g,M_g_error,APT_i,APT_error_i,m_i,m_i_error,M_i,M_i_error,,,,,
2,1,-5.9708,0.0555,19.00623,,11.21869399,,-7.1792,0.0234,17.2767,,9.48916399,,,Constant 0 points,Tile 1,Tile 2,Tile 3
2,2,-5.7293,0.0874,19.24773,,11.46019399,,-5.9398,0.0582,18.5161,,10.72856399,,,i,24.85597787,24.45594946,24.98845128
2,3,-8.7908,0.0102,16.18623,,8.39869399,,-8.6926,0.011,15.7633,,7.97576399,,,g,25.97735725,24.97703656,25.84390566
2,4,-8.3351,0.0112,16.64193,,8.85439399,,-8.5409,0.0109,15.915,,8.12746399,,,,,,
2,5,-8.8269,0.0086,16.15013,,8.36259399,,-8.3819,0.011,16.074,,8.28646399,,,,,,
2,6,-13.3706,0.001,11.60643,,3.81889399,,-13.4531,0.001,11.0028,,3.21526399,,,,,,
2,7,-5.2085,0.179,19.76853,,11.98099399,,-6.0401,0.087,18.4158,,10.62826399,,,,,,
2,8,-6.1057,0.0804,18.87133,,11.08379399,,-6.1239,0.0798,18.332,,10.54446399,,,,,,
2,9,-7.7635,0.0155,17.21353,,9.42599399,,-7.9226,0.0145,16.5333,,8.74576399,,,,,,
2,10,-7.1157,0.0234,17.86133,,10.07379399,,-6.8836,0.031,17.5723,,9.78476399,,,,,,
2,11,-5.7185,0.0666,19.25853,,11.47099399,,-6.3714,0.0521,18.0845,,10.29696399,,,,,,
2,12,-7.5362,0.021,17.44083,,9.65329399,,-7.1597,0.0275,17.2962,,9.50866399,,,,,,
2,13,-5.9866,0.0693,18.99043,,11.20289399,,-6.0132,0.0697,18.4427,,10.65516399,,,,,,
2,14,-8.847,0.0085,16.13003,,8.34249399,,-9.4693,0.0062,14.9866,,7.19906399,,,,,,
2,15,-8.295,0.0114,16.68203,,8.89449399,,-7.9129,0.0145,16.543,,8.75546399,,,,,,
2,16,-10.3902,0.004,14.58683,,6.79929399,,-9.9911,0.0049,14.4648,,6.67726399,,,,,,
2,17,-9.1546,0.0072,15.82243,,8.03489399,,-8.6919,0.0093,15.764,,7.97646399,,,,,,
2,18,-6.321,0.0416,18.65603,,10.86849399,,-6.8624,0.0287,17.5935,,9.80596399,,,,,,
2,19,-11.1023,0.0028,13.87473,,6.08719399,,-10.6296,0.0036,13.8263,,6.03876399,,,,,,
2,20,-8.471,0.0104,16.50603,,8.71849399,,-8.2509,0.0118,16.205,,8.41746399,,,,,,
2,21,-5.454,0.1107,19.52303,,11.73549399,,-7.4428,0.0227,17.0131,,9.22556399,,,,,,
2,22,-5.9818,0.0534,18.99523,,11.20769399,,-5.6251,0.074,18.8308,,11.04326399,,,,,,
2,23,-5.3273,0.0905,19.64973,,11.86219399,,-5.0914,0.1135,19.3645,,11.57696399,,,,,,
2,24,-7.1636,0.0282,17.81343,,10.02589399,,-6.9574,0.0396,17.4985,,9.71096399,,,,,,
2,25,-6.1582,0.0617,18.81883,,11.03129399,,-5.9406,0.0932,18.5153,,10.72776399,,,,,,
2,26,-13.6656,0.0013,11.31143,,3.52389399,,-13.5853,0.001,10.8706,,3.08306399,,,,,,
2,27,-7.5571,0.0177,17.41993,,9.63239399,,-7.2225,0.0264,17.2334,,9.44586399,,,,,,
2,28,-8.9099,0.0082,16.06713,,8.27959399,,-8.5502,0.0102,15.9057,,8.11816399,,,,,,
2,29,-5.3238,0.0914,19.65323,,11.86569399,,-5.2517,0.0988,19.2042,,11.41666399,,,,,,
2,30,-11.6217,0.0022,13.35533,,5.56779399,,-11.1111,0.0028,13.3448,,5.55726399,,,,,,
2,31,-5.4834,0.0801,19.49363,,11.70609399,,-5.9032,0.0577,18.5527,,10.76516399,,,,,,
2,32,-7.4282,0.0192,17.54883,,9.76129399,,-7.287,0.0253,17.1689,,9.38136399,,,,,,
2,33,-9.3016,0.0067,15.67543,,7.88789399,,-8.8434,0.0085,15.6125,,7.82496399,,,,,,
2,34,-7.393,0.0197,17.58403,,9.79649399,,-7.059,0.0249,17.3969,,9.60936399,,,,,,
2,35,-8.4295,0.0133,16.54753,,8.75999399,,-8.1758,0.0157,16.2801,,8.49256399,,,,,,
2,36,-6.9169,0.0335,18.06013,,10.27259399,,-6.778,0.037,17.6779,,9.89036399,,,,,,
2,37,-5.8487,0.0596,19.12833,,11.34079399,,-5.9205,0.0579,18.5354,,10.74786399,,,,,,
2,38,-8.6595,0.0094,16.31753,,8.52999399,,-8.3389,0.0113,16.117,,8.32946399,,,,,,
