Tile,Source Number,APT_g,APT_error_g,m_g,m_g_error,M_g,M_g_error,APT_i,APT_error_i,m_i,m_i_error,M_i,M_i_error,g-i,,,,
2,1,-5.9708,0.0555,18.2683,,10.48076399,,-7.1792,0.0234,16.6935,,8.90596399,,1.5748,Constant 0 points,Tile 1,Tile 2,Tile 3
2,2,-5.7293,0.0874,18.5098,,10.72226399,,-5.9398,0.0582,17.9329,,10.14536399,,0.5769,i,24.15775517,23.87279126,27.15195803
2,3,-8.7908,0.0102,15.4483,,7.66076399,,-8.6926,0.011,15.1801,,7.39256399,,0.2682,g,25.45925828,24.23916891,24.73359352
2,4,-8.3351,0.0112,15.904,,8.11646399,,-8.5409,0.0109,15.3318,,7.54426399,,0.5722,,,,
2,5,-8.8269,0.0086,15.4122,,7.62466399,,-8.3819,0.011,15.4908,,7.70326399,,-0.0786,,,,
2,6,-13.3706,0.001,10.8685,,3.08096399,,-13.4531,0.001,10.4196,,2.63206399,,0.4489,,,,
2,7,-5.2085,0.179,19.0306,,11.24306399,,-6.0401,0.087,17.8326,,10.04506399,,1.198,,,,
2,8,-6.1057,0.0804,18.1334,,10.34586399,,-6.1239,0.0798,17.7488,,9.96126399,,0.3846,,,,
2,9,-7.7635,0.0155,16.4756,,8.68806399,,-7.9226,0.0145,15.9501,,8.16256399,,0.5255,,,,
2,10,-7.1157,0.0234,17.1234,,9.33586399,,-6.8836,0.031,16.9891,,9.20156399,,0.1343,,,,
2,11,-5.7185,0.0666,18.5206,,10.73306399,,-6.3714,0.0521,17.5013,,9.71376399,,1.0193,,,,
2,12,-7.5362,0.021,16.7029,,8.91536399,,-7.1597,0.0275,16.713,,8.92546399,,-0.0101,,,,
2,13,-5.9866,0.0693,18.2525,,10.46496399,,-6.0132,0.0697,17.8595,,10.07196399,,0.393,,,,
2,14,-8.847,0.0085,15.3921,,7.60456399,,-9.4693,0.0062,14.4034,,6.61586399,,0.9887,,,,
2,15,-8.295,0.0114,15.9441,,8.15656399,,-7.9129,0.0145,15.9598,,8.17226399,,-0.0157,,,,
2,16,-10.3902,0.004,13.8489,,6.06136399,,-9.9911,0.0049,13.8816,,6.09406399,,-0.0327,,,,
2,17,-9.1546,0.0072,15.0845,,7.29696399,,-8.6919,0.0093,15.1808,,7.39326399,,-0.0963,,,,
2,18,-6.321,0.0416,17.9181,,10.13056399,,-6.8624,0.0287,17.0103,,9.22276399,,0.9078,,,,
2,19,-11.1023,0.0028,13.1368,,5.34926399,,-10.6296,0.0036,13.2431,,5.45556399,,-0.1063,,,,
2,20,-8.471,0.0104,15.7681,,7.98056399,,-8.2509,0.0118,15.6218,,7.83426399,,0.1463,,,,
2,21,-5.454,0.1107,18.7851,,10.99756399,,-7.4428,0.0227,16.4299,,8.64236399,,2.3552,,,,
2,22,-5.9818,0.0534,18.2573,,10.46976399,,-5.6251,0.074,18.2476,,10.46006399,,0.0097,,,,
2,23,-5.3273,0.0905,18.9118,,11.12426399,,-5.0914,0.1135,18.7813,,10.99376399,,0.1305,,,,
2,24,-7.1636,0.0282,17.0755,,9.28796399,,-6.9574,0.0396,16.9153,,9.12776399,,0.1602,,,,
2,25,-6.1582,0.0617,18.0809,,10.29336399,,-5.9406,0.0932,17.9321,,10.14456399,,0.1488,,,,
2,26,-13.6656,0.0013,10.5735,,2.78596399,,-13.5853,0.001,10.2874,,2.49986399,,0.2861,,,,
2,27,-7.5571,0.0177,16.682,,8.89446399,,-7.2225,0.0264,16.6502,,8.86266399,,0.0318,,,,
2,28,-8.9099,0.0082,15.3292,,7.54166399,,-8.5502,0.0102,15.3225,,7.53496399,,0.0067,,,,
2,29,-5.3238,0.0914,18.9153,,11.12776399,,-5.2517,0.0988,18.621,,10.83346399,,0.2943,,,,
2,30,-11.6217,0.0022,12.6174,,4.82986399,,-11.1111,0.0028,12.7616,,4.97406399,,-0.1442,,,,
2,31,-5.4834,0.0801,18.7557,,10.96816399,,-5.9032,0.0577,17.9695,,10.18196399,,0.7862,,,,
2,32,-7.4282,0.0192,16.8109,,9.02336399,,-7.287,0.0253,16.5857,,8.79816399,,0.2252,,,,
2,33,-9.3016,0.0067,14.9375,,7.14996399,,-8.8434,0.0085,15.0293,,7.24176399,,-0.0918,,,,
2,34,-7.393,0.0197,16.8461,,9.05856399,,-7.059,0.0249,16.8137,,9.02616399,,0.0324,,,,
2,35,-8.4295,0.0133,15.8096,,8.02206399,,-8.1758,0.0157,15.6969,,7.90936399,,0.1127,,,,
2,36,-6.9169,0.0335,17.3222,,9.53466399,,-6.778,0.037,17.0947,,9.30716399,,0.2275,,,,
2,37,-5.8487,0.0596,18.3904,,10.60286399,,-5.9205,0.0579,17.9522,,10.16466399,,0.4382,,,,
2,38,-8.6595,0.0094,15.5796,,7.79206399,,-8.3389,0.0113,15.5338,,7.74626399,,0.0458,,,,
2,39,-5.9001,0.0761,18.339,,10.55146399,,-5.4201,0.1151,18.4526,,10.66506399,,-0.1136,,,,
2,40,-6.7071,0.031,17.532,,9.74446399,,-6.6809,0.0321,17.1918,,9.40426399,,0.3402,,,,
2,41,-10.0918,0.0047,14.1473,,6.35976399,,-9.3015,0.0068,14.5712,,6.78366399,,-0.4239,,,,
2,42,-6.5362,0.0355,17.7029,,9.91536399,,-6.6573,0.0412,17.2154,,9.42786399,,0.4875,,,,
2,43,-6.9922,0.0254,17.2469,,9.45936399,,-6.6469,0.0336,17.2258,,9.43826399,,0.0211,,,,
2,44,-7.4691,0.0186,16.77,,8.98246399,,-7.4292,0.0226,16.4435,,8.65596399,,0.3265,,,,
2,45,-6.4701,0.0471,17.769,,9.98146399,,-6.2676,0.0696,17.6051,,9.81756399,,0.1639,,,,
2,46,-6.5307,0.0351,17.7084,,9.92086399,,-6.6847,0.0398,17.188,,9.40046399,,0.5204,,,,
2,47,-6.8179,0.036,17.4212,,9.63366399,,-6.8577,0.0352,17.015,,9.22746399,,0.4062,,,,
2,48,-7.3179,0.0206,16.9212,,9.13366399,,-7.0434,0.0305,16.8293,,9.04176399,,0.0919,,,,
2,49,-8.4037,0.0119,15.8354,,8.04786399,,-8.2669,0.013,15.6058,,7.81826399,,0.2296,,,,
2,50,-5.9896,0.0715,18.2495,,10.46196399,,-5.8898,0.0975,17.9829,,10.19536399,,0.2666,,,,
2,51,-4.3215,0.304,19.9176,,12.13006399,,-5.7996,0.0837,18.0731,,10.28556399,,1.8445,,,,
2,52,-7.1201,0.0235,17.119,,9.33146399,,-6.6702,0.0402,17.2025,,9.41496399,,-0.0835,,,,
2,53,-12.0993,0.0018,12.1398,,4.35226399,,-12.4133,0.0015,11.4594,,3.67186399,,0.6804,,,,
2,54,-5.3258,0.125,18.9133,,11.12576399,,-5.2669,0.1344,18.6058,,10.81826399,,0.3075,,,,
2,55,-5.7931,0.0614,18.446,,10.65846399,,-6.3069,0.0543,17.5658,,9.77826399,,0.8802,,,,
2,56,-12.8685,0.0012,11.3706,,3.58306399,,-13.0341,0.0012,10.8386,,3.05106399,,0.532,,,,
2,57,-6.0104,0.0521,18.2287,,10.44116399,,-6.3567,0.0467,17.516,,9.72846399,,0.7127,,,,
2,58,-6.0101,0.0686,18.229,,10.44146399,,-5.981,0.0708,17.8917,,10.10416399,,0.3373,,,,
2,59,-8.0123,0.0134,16.2268,,8.43926399,,-7.8193,0.0173,16.0534,,8.26586399,,0.1734,,,,
2,60,-5.494,0.0799,18.7451,,10.95756399,,-5.6837,0.0913,18.189,,10.40146399,,0.5561,,,,
2,61,-8.8952,0.0083,15.3439,,7.55636399,,-8.3873,0.012,15.4854,,7.69786399,,-0.1415,,,,
2,62,-12.6464,0.0014,11.5927,,3.80516399,,-11.9234,0.0019,11.9493,,4.16176399,,-0.3566,,,,
2,63,-7.4399,0.0226,16.7992,,9.01166399,,-7.4211,0.0229,16.4516,,8.66406399,,0.3476,,,,
2,64,-5.737,0.0868,18.5021,,10.71456399,,-5.6674,0.0924,18.2053,,10.41776399,,0.2968,,,,
2,65,-6.0421,0.051,18.197,,10.40946399,,-5.7694,0.0642,18.1033,,10.31576399,,0.0937,,,,
2,66,-5.5808,0.0735,18.6583,,10.87076399,,-5.7682,0.0661,18.1045,,10.31696399,,0.5538,,,,
2,67,-6.0949,0.0641,18.1442,,10.35666399,,-6.3539,0.052,17.5188,,9.73126399,,0.6254,,,,
2,68,-10.214,0.0044,14.0251,,6.23756399,,-9.9956,0.0049,13.8771,,6.08956399,,0.148,,,,
2,69,-7.997,0.0136,16.2421,,8.45456399,,-7.8605,0.0168,16.0122,,8.22466399,,0.2299,,,,
2,70,-5.7658,0.0847,18.4733,,10.68576399,,-5.4959,0.1082,18.3768,,10.58926399,,0.0965,,,,
2,71,-10.7872,0.0033,13.4519,,5.66436399,,-10.4346,0.0039,13.4381,,5.65056399,,0.0138,,,,
2,72,-6.5421,0.0445,17.697,,9.90946399,,-6.7397,0.0382,17.133,,9.34546399,,0.564,,,,
2,73,-5.3299,0.09,18.9092,,11.12166399,,-5.3346,0.0934,18.5381,,10.75056399,,0.3711,,,,
2,74,-5.1563,0.1048,19.0828,,11.29526399,,-5.1078,0.114,18.7649,,10.97736399,,0.3179,,,,
2,75,-6.5225,0.0455,17.7166,,9.92906399,,-8.1114,0.0143,15.7613,,7.97376399,,1.9553,,,,
2,76,-9.3173,0.007,14.9218,,7.13426399,,-9.0636,0.0081,14.8091,,7.02156399,,0.1127,,,,
2,77,-8.565,0.0099,15.6741,,7.88656399,,-9.0489,0.0081,14.8238,,7.03626399,,0.8503,,,,
2,78,-7.831,0.0173,16.4081,,8.62056399,,-8.012,0.0154,15.8607,,8.07316399,,0.5474,,,,
2,79,-5.457,0.1132,18.7821,,10.99456399,,-6.8626,0.0424,17.0101,,9.22256399,,1.772,,,,
2,80,-5.9288,0.0737,18.3103,,10.52276399,,-5.007,0.1649,18.8657,,11.07816399,,-0.5554,,,,
2,81,-7.3409,0.0242,16.8982,,9.11066399,,-7.0943,0.0291,16.7784,,8.99086399,,0.1198,,,,
2,82,-6.9703,0.026,17.2688,,9.48126399,,-7.2509,0.026,16.6218,,8.83426399,,0.647,,,,
2,83,-9.9427,0.005,14.2964,,6.50886399,,-9.8001,0.0054,14.0726,,6.28506399,,0.2238,,,,
2,84,-6.6826,0.0394,17.5565,,9.76896399,,-6.262,0.0442,17.6107,,9.82316399,,-0.0542,,,,
2,85,-8.6237,0.0104,15.6154,,7.82786399,,-8.6373,0.0103,15.2354,,7.44786399,,0.38,,,,
2,86,-5.818,0.0613,18.4211,,10.63356399,,-6.1872,0.0595,17.6855,,9.89796399,,0.7356,,,,
2,87,-7.8479,0.0169,16.3912,,8.60366399,,-7.7069,0.0189,16.1658,,8.37826399,,0.2254,,,,
2,88,-6.4407,0.0486,17.7984,,10.01086399,,-6.2471,0.0572,17.6256,,9.83806399,,0.1728,,,,
2,89,-6.7733,0.0376,17.4658,,9.67826399,,-7.699,0.019,16.1737,,8.38616399,,1.2921,,,,
2,90,-5.4728,0.1101,18.7663,,10.97876399,,-5.1101,0.1889,18.7626,,10.97506399,,0.0037,,,,
2,91,-7.601,0.0202,16.6381,,8.85056399,,-7.7585,0.0184,16.1142,,8.32666399,,0.5239,,,,
2,92,-6.3571,0.0618,17.882,,10.09446399,,-7.4249,0.0273,16.4478,,8.66026399,,1.4342,,,,
2,93,-6.5462,0.0442,17.6929,,9.90536399,,-7.4063,0.0232,16.4664,,8.67886399,,1.2265,,,,
2,94,-5.2465,0.1309,18.9926,,11.20506399,,-5.1421,0.1464,18.7306,,10.94306399,,0.262,,,,
2,95,-10.1006,0.0047,14.1385,,6.35096399,,-10.2793,0.0043,13.5934,,5.80586399,,0.5451,,,,
