Tile,Source Number,APT_g,APT_error_g,m_g,m_g_ec,m_g_error,M_g,M_g_error,APT_i,APT_error_i,m_i,m_i_ec,m_i_error,M_i,M_i_error,g-i,,,,
2,1,-5.9708,0.0555,18.2683,17.70679,,9.91925399,,-7.1792,0.0234,16.6935,16.40484,,8.61730399,,1.30195,Constant 0 points,Tile 1,Tile 2,Tile 3
2,2,-5.7293,0.0874,18.5098,17.94829,,10.16075399,,-5.9398,0.0582,17.9329,17.64424,,9.85670399,,0.30405,i,24.15775517,23.87279126,27.15195803
2,3,-8.7908,0.0102,15.4483,14.88679,,7.09925399,,-8.6926,0.011,15.1801,14.89144,,7.10390399,,-0.00465,g,25.45925828,24.23916891,24.73359352
2,4,-8.3351,0.0112,15.904,15.34249,,7.55495399,,-8.5409,0.0109,15.3318,15.04314,,7.25560399,,0.29935,,,,
2,5,-8.8269,0.0086,15.4122,14.85069,,7.06315399,,-8.3819,0.011,15.4908,15.20214,,7.41460399,,-0.35145,,,,
2,6,-13.3706,0.001,10.8685,10.30699,,2.51945399,,-13.4531,0.001,10.4196,10.13094,,2.34340399,,0.17605,,,,
2,7,-5.2085,0.179,19.0306,18.46909,,10.68155399,,-6.0401,0.087,17.8326,17.54394,,9.75640399,,0.92515,,,,
2,8,-6.1057,0.0804,18.1334,17.57189,,9.78435399,,-6.1239,0.0798,17.7488,17.46014,,9.67260399,,0.11175,,,,
2,9,-7.7635,0.0155,16.4756,15.91409,,8.12655399,,-7.9226,0.0145,15.9501,15.66144,,7.87390399,,0.25265,,,,
2,10,-7.1157,0.0234,17.1234,16.56189,,8.77435399,,-6.8836,0.031,16.9891,16.70044,,8.91290399,,-0.13855,,,,
2,11,-5.7185,0.0666,18.5206,17.95909,,10.17155399,,-6.3714,0.0521,17.5013,17.21264,,9.42510399,,0.74645,,,,
2,12,-7.5362,0.021,16.7029,16.14139,,8.35385399,,-7.1597,0.0275,16.713,16.42434,,8.63680399,,-0.28295,,,,
2,13,-5.9866,0.0693,18.2525,17.69099,,9.90345399,,-6.0132,0.0697,17.8595,17.57084,,9.78330399,,0.12015,,,,
2,14,-8.847,0.0085,15.3921,14.83059,,7.04305399,,-9.4693,0.0062,14.4034,14.11474,,6.32720399,,0.71585,,,,
2,15,-8.295,0.0114,15.9441,15.38259,,7.59505399,,-7.9129,0.0145,15.9598,15.67114,,7.88360399,,-0.28855,,,,
