# File generated by CMD 3.8 (http://stev.oapd.inaf.it/cmd) on Tue Nov  4 12:59:30 UTC 2025
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: SDSS <i>ugriz</i>
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z mbolmag  umag    gmag    rmag    imag    zmag
0.011307 -0.12000 6.95000 0.0900000036 1.0816895926    0.090 -2.002  3.4095  3.984    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -4.3e-15      0.00 7.193e-01 2.692e-01 2.060e-03 5.560e-04 5.042e-03 -1.000 1.146e-02 9.775 18.029 14.882 13.485 11.164 9.790
0.011307 -0.12000 6.95000 0.0936483070 1.1157454713    0.094 -1.980  3.4119  3.989    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.41e-15      0.00 7.193e-01 2.692e-01 2.060e-03 5.560e-04 5.042e-03 -1.000 1.146e-02 9.719 17.978 14.827 13.430 11.108 9.734
0.011307 -0.12000 6.95000 0.1000000089 1.1711064744    0.100 -1.941  3.4159  3.994    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.64e-15      0.00 7.193e-01 2.692e-01 2.060e-03 5.560e-04 5.042e-03 -1.000 1.146e-02 9.622 17.869 14.717 13.320 11.003 9.633
0.011307 -0.12000 6.95000 0.1200000048 1.3193154741    0.120 -1.835  3.4272  4.013    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.29e-15      0.00 7.193e-01 2.692e-01 2.060e-03 5.560e-04 5.042e-03 -1.000 1.146e-02 9.357 17.267 14.181 12.776 10.579 9.307
0.011307 -0.12000 6.95000 0.1340532154 1.4054615159    0.134 -1.763  3.4354  4.022    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.82e-15      0.00 7.193e-01 2.692e-01 2.060e-03 5.560e-04 5.042e-03 -1.000 1.146e-02 9.178 16.795 13.774 12.379 10.275 9.077
0.011307 -0.12000 6.95000 0.1411844492 1.4448064215    0.141 -1.732  3.4391  4.028    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.03e-15      0.00 7.193e-01 2.692e-01 2.060e-03 5.560e-04 5.042e-03 -1.000 1.146e-02 9.100 16.593 13.598 12.211 10.144 8.977
0.011307 -0.12000 6.95000 0.1454098076 1.4669201308    0.145 -1.714  3.4412  4.031    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.19e-15      0.00 7.193e-01 2.692e-01 2.060e-03 5.560e-04 5.042e-03 -1.000 1.146e-02 9.055 16.475 13.495 12.113 10.069 8.919
0.011307 -0.12000 6.95000 0.1476056874 1.4780852068    0.148 -1.703  3.4424  4.032    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.31e-15      0.00 7.193e-01 2.692e-01 2.060e-03 5.560e-04 5.042e-03 -1.000 1.146e-02 9.029 16.410 13.438 12.059 10.027 8.887
0.011307 -0.12000 6.95000 0.1590683460 1.5330527760    0.159 -1.656  3.4478  4.039    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.73e-15      0.00 7.193e-01 2.692e-01 2.060e-03 5.560e-04 5.042e-03 -1.000 1.146e-02 8.910 16.111 13.178 11.809 9.835 8.738
0.011307 -0.12000 6.95000 0.1729572862 1.5931319215    0.173 -1.603  3.4537  4.045    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.25e-15      0.00 7.193e-01 2.692e-01 2.060e-03 5.560e-04 5.042e-03 -1.000 1.146e-02 8.777 15.794 12.895 11.530 9.625 8.574
0.011307 -0.12000 6.95000 0.1874750108 1.6495707315    0.187 -1.550  3.4596  4.051    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -7.8e-15      0.00 7.193e-01 2.692e-01 2.060e-03 5.560e-04 5.042e-03 -1.000 1.146e-02 8.645 15.480 12.613 11.250 9.419 8.413
0.011307 -0.12000 6.95000 0.2031135112 1.7043360616    0.203 -1.501  3.4649  4.058    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.32e-15      0.00 7.193e-01 2.692e-01 2.060e-03 5.560e-04 5.042e-03 -1.000 1.146e-02 8.523 15.219 12.374 11.016 9.241 8.269
0.011307 -0.12000 6.95000 0.2211193740 1.7609752771    0.221 -1.447  3.4710  4.065    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.97e-15      0.00 7.193e-01 2.692e-01 2.060e-03 5.560e-04 5.042e-03 -1.000 1.146e-02 8.387 14.926 12.107 10.755 9.043 8.109
0.011307 -0.12000 6.95000 0.2407778502 1.8163398517    0.241 -1.392  3.4773  4.073    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.66e-15      0.00 7.193e-01 2.692e-01 2.060e-03 5.560e-04 5.042e-03 -1.000 1.146e-02 8.250 14.642 11.843 10.496 8.848 7.951
0.011307 -0.12000 6.95000 0.2566826344 1.8569993179    0.257 -1.353  3.4817  4.079    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.02e-14      0.00 7.193e-01 2.692e-01 2.060e-03 5.560e-04 5.042e-03 -1.000 1.146e-02 8.152 14.445 11.656 10.308 8.709 7.839
0.011307 -0.12000 6.95000 0.2829478681 1.9174453545    0.283 -1.291  3.4888  4.087    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.11e-14      0.00 7.193e-01 2.692e-01 2.060e-03 5.560e-04 5.042e-03 -1.000 1.146e-02 7.996 14.142 11.362 10.005 8.489 7.663
0.011307 -0.12000 6.95000 0.3004194498 1.9537531958    0.300 -1.253  3.4933  4.094    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.16e-14      0.00 7.193e-01 2.692e-01 2.060e-03 5.560e-04 5.042e-03 -1.000 1.146e-02 7.902 13.960 11.186 9.834 8.360 7.558
0.011307 -0.12000 6.95000 0.3369315565 2.0214634862    0.337 -1.181  3.5015  4.105    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.28e-14      0.00 7.193e-01 2.692e-01 2.060e-03 5.560e-04 5.042e-03 -1.000 1.146e-02 7.723 13.626 10.865 9.527 8.122 7.360
0.011307 -0.12000 6.95000 0.3500000238 2.0434175133    0.350 -1.157  3.5043  4.109    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.32e-14      0.00 7.193e-01 2.692e-01 2.060e-03 5.560e-04 5.042e-03 -1.000 1.146e-02 7.664 13.518 10.759 9.426 8.044 7.295
0.011307 -0.12000 6.95000 0.3690717518 2.0736126600    0.369 -1.124  3.5083  4.115    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.38e-14      0.00 7.193e-01 2.692e-01 2.060e-03 5.560e-04 5.042e-03 -1.000 1.146e-02 7.581 13.366 10.611 9.284 7.934 7.205
0.011307 -0.12000 6.95000 0.4000000358 2.1185024810    0.400 -1.073  3.5146  4.123    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.48e-14      0.00 7.193e-01 2.692e-01 2.060e-03 5.560e-04 5.042e-03 -1.000 1.146e-02 7.452 13.137 10.383 9.064 7.766 7.065
0.011307 -0.12000 6.95000 0.4500000179 2.1822809362    0.450 -1.000  3.5240  4.138    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.62e-14      0.00 7.193e-01 2.692e-01 2.060e-03 5.560e-04 5.042e-03 -1.000 1.146e-02 7.269 12.819 10.058 8.745 7.527 6.869
0.011307 -0.12000 6.95000 0.4891302288 2.2260879212    0.489 -0.949  3.5309  4.152    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.72e-14      0.00 7.193e-01 2.692e-01 2.060e-03 5.560e-04 5.042e-03 -1.000 1.146e-02 7.143 12.599 9.830 8.518 7.361 6.736
0.011307 -0.12000 6.95000 0.5000000000 2.2374541529    0.500 -0.935  3.5328  4.155    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.75e-14      0.00 7.193e-01 2.692e-01 2.060e-03 5.560e-04 5.042e-03 -1.000 1.146e-02 7.107 12.540 9.768 8.457 7.316 6.698
0.011307 -0.12000 6.95000 0.5048302412 2.2423787082    0.505 -0.929  3.5338  4.157    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.76e-14      0.00 7.193e-01 2.692e-01 2.060e-03 5.560e-04 5.042e-03 -1.000 1.146e-02 7.093 12.512 9.739 8.428 7.296 6.683
0.011307 -0.12000 6.95000 0.5285605788 2.2650765112    0.528 -0.900  3.5382  4.165    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.82e-14      0.00 7.193e-01 2.692e-01 2.060e-03 5.560e-04 5.042e-03 -1.000 1.146e-02 7.020 12.383 9.603 8.294 7.199 6.606
0.011307 -0.12000 6.95000 0.5500000119 2.2836582633    0.550 -0.876  3.5413  4.171    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.87e-14      0.00 7.193e-01 2.692e-01 2.060e-03 5.560e-04 5.042e-03 -1.000 1.146e-02 6.959 12.283 9.499 8.190 7.122 6.543
0.011307 -0.12000 6.95000 0.5711415410 2.3004197083    0.571 -0.849  3.5458  4.179    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.94e-14      0.00 7.193e-01 2.692e-01 2.060e-03 5.560e-04 5.042e-03 -1.000 1.146e-02 6.893 12.165 9.372 8.063 7.034 6.475
0.011307 -0.12000 6.95000 0.6000000238 2.3211213258    0.600 -0.817  3.5505  4.187    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.01e-14      0.00 7.193e-01 2.692e-01 2.060e-03 5.560e-04 5.042e-03 -1.000 1.146e-02 6.814 12.032 9.230 7.921 6.932 6.393
0.011307 -0.12000 6.95000 0.6012792587 2.3219862309    0.601 -0.816  3.5508  4.188    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.02e-14      0.00 7.193e-01 2.692e-01 2.060e-03 5.560e-04 5.042e-03 -1.000 1.146e-02 6.810 12.025 9.222 7.913 6.927 6.389
0.011307 -0.12000 6.95000 0.6340007186 2.3427524091    0.634 -0.776  3.5579  4.200    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.12e-14      0.00 7.193e-01 2.692e-01 2.060e-03 5.560e-04 5.042e-03 -1.000 1.146e-02 6.710 11.849 9.030 7.719 6.794 6.288
0.011307 -0.12000 6.95000 0.6499999762 2.3520353107    0.650 -0.757  3.5609  4.204    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.18e-14      0.00 7.193e-01 2.692e-01 2.060e-03 5.560e-04 5.042e-03 -1.000 1.146e-02 6.663 11.771 8.945 7.633 6.733 6.241
0.011307 -0.12000 6.95000 0.6665254235 2.3610874503    0.667 -0.736  3.5648  4.209    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.25e-14      0.00 7.193e-01 2.692e-01 2.060e-03 5.560e-04 5.042e-03 -1.000 1.146e-02 6.610 11.678 8.843 7.530 6.664 6.189
0.011307 -0.12000 6.95000 0.6999881864 2.3779210862    0.700 -0.692  3.5725  4.217    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -2.4e-14      0.00 7.193e-01 2.692e-01 2.060e-03 5.560e-04 5.042e-03 -1.000 1.146e-02 6.501 11.492 8.639 7.327 6.523 6.081
0.011307 -0.12000 6.95000 0.7000000477 2.3779267258    0.700 -0.692  3.5725  4.217    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -2.4e-14      0.00 7.193e-01 2.692e-01 2.060e-03 5.560e-04 5.042e-03 -1.000 1.146e-02 6.501 11.492 8.639 7.327 6.523 6.081
0.011307 -0.12000 6.95000 0.7429035306 2.3969783226    0.743 -0.563  3.6170  4.291    0  0.000  0.539     0.00     0.00     0.00     0.00     0.00 -1 -2.89e-14      0.00 7.193e-01 2.692e-01 2.037e-03 5.553e-04 5.043e-03 -1.000 1.146e-02 6.176 10.654 7.789 6.564 6.051 5.773
0.011307 -0.12000 6.95000 0.7500000000 2.3998889087    0.750 -0.540  3.6243  4.302    0  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -2.99e-14      0.00 7.193e-01 2.692e-01 2.033e-03 5.552e-04 5.043e-03 -1.000 1.146e-02 6.119 10.491 7.646 6.448 5.975 5.719
