# File generated by CMD 3.8 (http://stev.oapd.inaf.it/cmd) on Wed Oct 22 22:48:35 UTC 2025
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: SDSS <i>ugriz</i>
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag
0.0152 0.01508 7.11000 0.0900000036 1.0816895926    0.090 -2.141  3.3992  4.082    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.79e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.122 18.472 15.301 13.898 11.599 10.179
0.0152 0.01508 7.11000 0.0965148956 1.1413165380    0.097 -2.098  3.4037  4.088    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.95e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.015 18.375 15.197 13.793 11.493 10.073
0.0152 0.01508 7.11000 0.1000000015 1.1711064122    0.100 -2.076  3.4060  4.090    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.05e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.959 18.322 15.142 13.738 11.437 10.017
0.0152 0.01508 7.11000 0.1200000122 1.3193155232    0.120 -1.961  3.4180  4.102    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.57e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.673 17.995 14.816 13.410 11.125 9.720
0.0152 0.01508 7.11000 0.1379785240 1.4274457907    0.138 -1.872  3.4274  4.111    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.04e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.451 17.442 14.339 12.935 10.750 9.438
0.0152 0.01508 7.11000 0.1400000006 1.4384526719    0.140 -1.863  3.4284  4.112    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -4.1e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.427 17.380 14.286 12.882 10.709 9.408
0.0152 0.01508 7.11000 0.1498536617 1.4892936815    0.150 -1.819  3.4335  4.118    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.35e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.317 17.083 14.032 12.637 10.518 9.264
0.0152 0.01508 7.11000 0.1631193608 1.5512604771    0.163 -1.764  3.4398  4.126    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.67e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.180 16.724 13.725 12.345 10.287 9.088
0.0152 0.01508 7.11000 0.1733526736 1.5947496937    0.173 -1.724  3.4441  4.129    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.98e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.079 16.474 13.508 12.138 10.124 8.962
0.0152 0.01508 7.11000 0.1871055663 1.6482057106    0.187 -1.674  3.4498  4.135    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.33e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.955 16.158 13.235 11.876 9.919 8.805
